<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.86724	0.86753	0.86717	0.86744	52	0	51
2024.01.02	00:15:00	0.86744	0.86768	0.86722	0.86751	75	0	3
2024.01.02	00:30:00	0.86756	0.86781	0.86704	0.86725	153	0	5
2024.01.02	00:45:00	0.86736	0.86744	0.86700	0.86737	95	0	3
2024.01.02	01:00:00	0.86738	0.86738	0.86682	0.86687	299	0	2
2024.01.02	01:15:00	0.86688	0.86717	0.86687	0.86690	249	0	9
2024.01.02	01:30:00	0.86689	0.86710	0.86687	0.86708	207	0	0
2024.01.02	01:45:00	0.86709	0.86719	0.86695	0.86705	209	0	0
2024.01.02	02:00:00	0.86704	0.86718	0.86696	0.86709	253	0	0
2024.01.02	02:15:00	0.86709	0.86729	0.86699	0.86720	225	0	3
2024.01.02	02:30:00	0.86720	0.86741	0.86716	0.86735	204	0	0
2024.01.02	02:45:00	0.86735	0.86740	0.86722	0.86732	241	0	0
2024.01.02	03:00:00	0.86732	0.86746	0.86722	0.86738	275	0	1
2024.01.02	03:15:00	0.86739	0.86754	0.86730	0.86739	303	0	3
2024.01.02	03:30:00	0.86740	0.86754	0.86734	0.86741	261	0	10
2024.01.02	03:45:00	0.86741	0.86752	0.86738	0.86743	213	0	2
2024.01.02	04:00:00	0.86743	0.86744	0.86693	0.86693	268	0	2
2024.01.02	04:15:00	0.86694	0.86694	0.86663	0.86669	347	0	10
2024.01.02	04:30:00	0.86669	0.86708	0.86652	0.86696	302	0	4
2024.01.02	04:45:00	0.86696	0.86701	0.86679	0.86683	299	0	3
2024.01.02	05:00:00	0.86681	0.86690	0.86669	0.86676	281	0	10
2024.01.02	05:15:00	0.86676	0.86691	0.86676	0.86683	236	0	10
2024.01.02	05:30:00	0.86680	0.86686	0.86667	0.86680	163	0	0
2024.01.02	05:45:00	0.86680	0.86705	0.86665	0.86677	161	0	1
2024.01.02	06:00:00	0.86678	0.86684	0.86668	0.86674	181	0	3
2024.01.02	06:15:00	0.86674	0.86687	0.86667	0.86671	199	0	0
2024.01.02	06:30:00	0.86671	0.86672	0.86655	0.86659	225	0	0
2024.01.02	06:45:00	0.86660	0.86678	0.86657	0.86675	323	0	0
2024.01.02	07:00:00	0.86676	0.86679	0.86655	0.86661	329	0	2
2024.01.02	07:15:00	0.86661	0.86664	0.86651	0.86654	189	0	2
2024.01.02	07:30:00	0.86654	0.86662	0.86637	0.86643	188	0	3
2024.01.02	07:45:00	0.86643	0.86643	0.86581	0.86619	292	0	10
2024.01.02	08:00:00	0.86619	0.86647	0.86619	0.86629	207	0	10
2024.01.02	08:15:00	0.86629	0.86647	0.86624	0.86627	228	0	4
2024.01.02	08:30:00	0.86628	0.86643	0.86625	0.86641	273	0	2
2024.01.02	08:45:00	0.86642	0.86653	0.86616	0.86622	280	0	2
2024.01.02	09:00:00	0.86621	0.86629	0.86595	0.86597	470	0	0
2024.01.02	09:15:00	0.86596	0.86638	0.86564	0.86636	487	0	8
2024.01.02	09:30:00	0.86635	0.86635	0.86599	0.86614	529	0	8
2024.01.02	09:45:00	0.86613	0.86625	0.86501	0.86510	873	0	8
2024.01.02	10:00:00	0.86511	0.86556	0.86458	0.86475	1216	0	8
2024.01.02	10:15:00	0.86476	0.86521	0.86465	0.86503	760	0	8
2024.01.02	10:30:00	0.86504	0.86529	0.86489	0.86509	530	0	3
2024.01.02	10:45:00	0.86512	0.86522	0.86454	0.86507	769	0	8
2024.01.02	11:00:00	0.86507	0.86553	0.86490	0.86536	611	0	8
2024.01.02	11:15:00	0.86537	0.86589	0.86535	0.86559	532	0	8
2024.01.02	11:30:00	0.86558	0.86607	0.86546	0.86579	659	0	8
2024.01.02	11:45:00	0.86578	0.86608	0.86562	0.86607	669	0	8
2024.01.02	12:00:00	0.86608	0.86624	0.86556	0.86565	703	0	8
2024.01.02	12:15:00	0.86566	0.86589	0.86546	0.86577	689	0	8
2024.01.02	12:30:00	0.86577	0.86652	0.86565	0.86636	607	0	8
2024.01.02	12:45:00	0.86636	0.86711	0.86629	0.86701	770	0	8
2024.01.02	13:00:00	0.86700	0.86782	0.86700	0.86733	1109	0	8
2024.01.02	13:15:00	0.86732	0.86752	0.86592	0.86639	1353	0	8
2024.01.02	13:30:00	0.86637	0.86664	0.86608	0.86664	732	0	8
2024.01.02	13:45:00	0.86665	0.86681	0.86618	0.86623	801	0	8
2024.01.02	14:00:00	0.86621	0.86688	0.86619	0.86663	753	0	8
2024.01.02	14:15:00	0.86663	0.86667	0.86608	0.86619	689	0	8
2024.01.02	14:30:00	0.86620	0.86658	0.86619	0.86655	618	0	8
2024.01.02	14:45:00	0.86657	0.86683	0.86632	0.86632	633	0	8
2024.01.02	15:00:00	0.86630	0.86668	0.86616	0.86656	610	0	8
2024.01.02	15:15:00	0.86657	0.86708	0.86650	0.86690	620	0	8
2024.01.02	15:30:00	0.86689	0.86753	0.86677	0.86748	727	0	8
2024.01.02	15:45:00	0.86749	0.86762	0.86707	0.86716	651	0	8
2024.01.02	16:00:00	0.86717	0.86732	0.86688	0.86700	715	0	8
2024.01.02	16:15:00	0.86701	0.86716	0.86652	0.86671	845	0	8
2024.01.02	16:30:00	0.86672	0.86735	0.86644	0.86707	949	0	8
2024.01.02	16:45:00	0.86706	0.86809	0.86704	0.86809	1128	0	8
2024.01.02	17:00:00	0.86811	0.86819	0.86771	0.86801	1149	0	8
2024.01.02	17:15:00	0.86801	0.86822	0.86765	0.86788	913	0	8
2024.01.02	17:30:00	0.86789	0.86811	0.86767	0.86803	934	0	8
2024.01.02	17:45:00	0.86803	0.86806	0.86665	0.86678	1078	0	8
2024.01.02	18:00:00	0.86679	0.86754	0.86674	0.86748	934	0	8
2024.01.02	18:15:00	0.86749	0.86810	0.86740	0.86797	671	0	8
2024.01.02	18:30:00	0.86797	0.86811	0.86748	0.86762	479	0	8
2024.01.02	18:45:00	0.86763	0.86779	0.86737	0.86746	469	0	8
2024.01.02	19:00:00	0.86746	0.86746	0.86692	0.86707	520	0	0
2024.01.02	19:15:00	0.86708	0.86719	0.86694	0.86711	418	0	10
2024.01.02	19:30:00	0.86712	0.86717	0.86678	0.86678	318	0	10
2024.01.02	19:45:00	0.86678	0.86690	0.86671	0.86677	396	0	10
2024.01.02	20:00:00	0.86676	0.86723	0.86668	0.86710	379	0	10
2024.01.02	20:15:00	0.86710	0.86718	0.86706	0.86711	416	0	0
2024.01.02	20:30:00	0.86712	0.86725	0.86697	0.86700	293	0	10
2024.01.02	20:45:00	0.86700	0.86705	0.86691	0.86694	317	0	10
2024.01.02	21:00:00	0.86695	0.86713	0.86695	0.86709	301	0	0
2024.01.02	21:15:00	0.86710	0.86725	0.86699	0.86714	283	0	0
2024.01.02	21:30:00	0.86713	0.86723	0.86706	0.86708	265	0	1
2024.01.02	21:45:00	0.86708	0.86731	0.86705	0.86731	362	0	10
2024.01.02	22:00:00	0.86731	0.86735	0.86715	0.86720	290	0	2
2024.01.02	22:15:00	0.86719	0.86729	0.86715	0.86725	306	0	10
2024.01.02	22:30:00	0.86726	0.86737	0.86714	0.86735	269	0	10
2024.01.02	22:45:00	0.86736	0.86742	0.86718	0.86722	455	0	2
2024.01.02	23:00:00	0.86712	0.86715	0.86682	0.86689	224	0	2
2024.01.02	23:15:00	0.86690	0.86708	0.86676	0.86678	160	0	1
2024.01.02	23:30:00	0.86678	0.86697	0.86668	0.86681	104	0	0
2024.01.02	23:45:00	0.86680	0.86705	0.86680	0.86705	144	0	0
2024.01.03	00:00:00	0.86705	0.86710	0.86646	0.86683	124	0	11
2024.01.03	00:15:00	0.86706	0.86717	0.86663	0.86681	326	0	40
2024.01.03	00:30:00	0.86679	0.86687	0.86661	0.86687	208	0	4
2024.01.03	00:45:00	0.86679	0.86692	0.86666	0.86675	358	0	28
2024.01.03	01:00:00	0.86690	0.86710	0.86685	0.86700	222	0	4
2024.01.03	01:15:00	0.86700	0.86703	0.86683	0.86689	121	0	0
2024.01.03	01:30:00	0.86684	0.86698	0.86674	0.86674	138	0	0
2024.01.03	01:45:00	0.86679	0.86686	0.86675	0.86675	134	0	4
2024.01.03	02:00:00	0.86675	0.86694	0.86675	0.86688	172	0	5
2024.01.03	02:15:00	0.86688	0.86695	0.86683	0.86689	164	0	0
2024.01.03	02:30:00	0.86689	0.86692	0.86672	0.86682	233	0	10
2024.01.03	02:45:00	0.86682	0.86692	0.86677	0.86680	223	0	2
2024.01.03	03:00:00	0.86680	0.86688	0.86670	0.86685	355	0	10
2024.01.03	03:15:00	0.86685	0.86704	0.86678	0.86703	393	0	2
2024.01.03	03:30:00	0.86702	0.86732	0.86695	0.86730	320	0	10
2024.01.03	03:45:00	0.86730	0.86735	0.86697	0.86711	240	0	3
2024.01.03	04:00:00	0.86711	0.86723	0.86705	0.86705	184	0	3
2024.01.03	04:15:00	0.86704	0.86711	0.86697	0.86701	168	0	4
2024.01.03	04:30:00	0.86702	0.86714	0.86699	0.86709	192	0	0
2024.01.03	04:45:00	0.86709	0.86725	0.86704	0.86718	228	0	0
2024.01.03	05:00:00	0.86718	0.86718	0.86686	0.86686	230	0	3
2024.01.03	05:15:00	0.86686	0.86707	0.86684	0.86705	237	0	0
2024.01.03	05:30:00	0.86704	0.86721	0.86695	0.86717	295	0	3
2024.01.03	05:45:00	0.86717	0.86729	0.86700	0.86707	406	0	0
2024.01.03	06:00:00	0.86706	0.86715	0.86699	0.86706	222	0	0
2024.01.03	06:15:00	0.86707	0.86721	0.86706	0.86713	240	0	2
2024.01.03	06:30:00	0.86717	0.86719	0.86707	0.86710	156	0	1
2024.01.03	06:45:00	0.86711	0.86714	0.86706	0.86712	141	0	3
2024.01.03	07:00:00	0.86713	0.86722	0.86709	0.86719	250	0	10
2024.01.03	07:15:00	0.86718	0.86724	0.86709	0.86713	257	0	0
2024.01.03	07:30:00	0.86713	0.86721	0.86704	0.86720	255	0	3
2024.01.03	07:45:00	0.86719	0.86726	0.86698	0.86700	309	0	0
2024.01.03	08:00:00	0.86700	0.86714	0.86691	0.86696	262	0	0
2024.01.03	08:15:00	0.86696	0.86705	0.86689	0.86695	329	0	8
2024.01.03	08:30:00	0.86695	0.86698	0.86673	0.86678	257	0	0
2024.01.03	08:45:00	0.86677	0.86681	0.86665	0.86670	307	0	2
2024.01.03	09:00:00	0.86668	0.86724	0.86666	0.86722	602	0	8
2024.01.03	09:15:00	0.86722	0.86758	0.86719	0.86725	531	0	8
2024.01.03	09:30:00	0.86724	0.86746	0.86694	0.86731	710	0	8
2024.01.03	09:45:00	0.86732	0.86732	0.86673	0.86683	582	0	3
2024.01.03	10:00:00	0.86683	0.86724	0.86677	0.86680	911	0	8
2024.01.03	10:15:00	0.86682	0.86687	0.86615	0.86621	866	0	8
2024.01.03	10:30:00	0.86620	0.86669	0.86590	0.86649	878	0	8
2024.01.03	10:45:00	0.86650	0.86655	0.86608	0.86636	575	0	8
2024.01.03	11:00:00	0.86635	0.86660	0.86608	0.86611	676	0	8
2024.01.03	11:15:00	0.86610	0.86621	0.86587	0.86597	732	0	8
2024.01.03	11:30:00	0.86596	0.86623	0.86567	0.86572	605	0	8
2024.01.03	11:45:00	0.86572	0.86608	0.86567	0.86600	567	0	8
2024.01.03	12:00:00	0.86599	0.86611	0.86580	0.86591	497	0	8
2024.01.03	12:15:00	0.86592	0.86595	0.86564	0.86582	578	0	8
2024.01.03	12:30:00	0.86582	0.86594	0.86520	0.86559	615	0	8
2024.01.03	12:45:00	0.86560	0.86610	0.86537	0.86542	550	0	2
2024.01.03	13:00:00	0.86542	0.86547	0.86477	0.86478	723	0	8
2024.01.03	13:15:00	0.86479	0.86543	0.86479	0.86525	501	0	8
2024.01.03	13:30:00	0.86524	0.86528	0.86464	0.86476	780	0	8
2024.01.03	13:45:00	0.86475	0.86493	0.86450	0.86474	786	0	8
2024.01.03	14:00:00	0.86475	0.86498	0.86459	0.86489	767	0	8
2024.01.03	14:15:00	0.86488	0.86542	0.86469	0.86529	637	0	8
2024.01.03	14:30:00	0.86529	0.86531	0.86496	0.86497	626	0	8
2024.01.03	14:45:00	0.86496	0.86514	0.86442	0.86469	677	0	8
2024.01.03	15:00:00	0.86470	0.86485	0.86453	0.86468	657	0	8
2024.01.03	15:15:00	0.86468	0.86474	0.86438	0.86445	778	0	8
2024.01.03	15:30:00	0.86446	0.86468	0.86418	0.86422	885	0	8
2024.01.03	15:45:00	0.86423	0.86475	0.86412	0.86469	868	0	8
2024.01.03	16:00:00	0.86470	0.86496	0.86464	0.86482	760	0	8
2024.01.03	16:15:00	0.86483	0.86485	0.86441	0.86443	808	0	8
2024.01.03	16:30:00	0.86442	0.86457	0.86421	0.86451	1049	0	8
2024.01.03	16:45:00	0.86453	0.86453	0.86403	0.86439	963	0	8
2024.01.03	17:00:00	0.86422	0.86450	0.86369	0.86413	1895	0	8
2024.01.03	17:15:00	0.86412	0.86412	0.86321	0.86342	1197	0	8
2024.01.03	17:30:00	0.86343	0.86396	0.86312	0.86384	1155	0	8
2024.01.03	17:45:00	0.86384	0.86387	0.86294	0.86347	1289	0	8
2024.01.03	18:00:00	0.86349	0.86357	0.86269	0.86287	1021	0	8
2024.01.03	18:15:00	0.86287	0.86324	0.86270	0.86300	859	0	8
2024.01.03	18:30:00	0.86299	0.86332	0.86287	0.86306	667	0	8
2024.01.03	18:45:00	0.86305	0.86326	0.86285	0.86291	613	0	8
2024.01.03	19:00:00	0.86290	0.86300	0.86249	0.86250	588	0	10
2024.01.03	19:15:00	0.86250	0.86261	0.86236	0.86253	496	0	10
2024.01.03	19:30:00	0.86252	0.86271	0.86247	0.86253	456	0	10
2024.01.03	19:45:00	0.86253	0.86262	0.86247	0.86247	522	0	10
2024.01.03	20:00:00	0.86248	0.86277	0.86242	0.86245	583	0	10
2024.01.03	20:15:00	0.86246	0.86265	0.86235	0.86239	531	0	10
2024.01.03	20:30:00	0.86240	0.86252	0.86231	0.86236	501	0	10
2024.01.03	20:45:00	0.86236	0.86237	0.86200	0.86212	451	0	10
2024.01.03	21:00:00	0.86212	0.86245	0.86166	0.86174	1303	0	10
2024.01.03	21:15:00	0.86176	0.86192	0.86169	0.86174	906	0	10
2024.01.03	21:30:00	0.86174	0.86204	0.86173	0.86201	688	0	10
2024.01.03	21:45:00	0.86200	0.86225	0.86187	0.86204	650	0	10
2024.01.03	22:00:00	0.86203	0.86230	0.86203	0.86222	663	0	10
2024.01.03	22:15:00	0.86221	0.86255	0.86214	0.86230	572	0	10
2024.01.03	22:30:00	0.86230	0.86237	0.86216	0.86232	458	0	10
2024.01.03	22:45:00	0.86233	0.86235	0.86216	0.86232	595	0	10
2024.01.03	23:00:00	0.86222	0.86224	0.86194	0.86204	166	0	0
2024.01.03	23:15:00	0.86203	0.86226	0.86198	0.86216	156	0	1
2024.01.03	23:30:00	0.86218	0.86233	0.86186	0.86204	148	0	1
2024.01.03	23:45:00	0.86206	0.86233	0.86200	0.86230	232	0	0
2024.01.04	00:00:00	0.86188	0.86231	0.86045	0.86151	89	0	25
2024.01.04	00:15:00	0.86192	0.86229	0.86188	0.86209	401	0	27
2024.01.04	00:30:00	0.86207	0.86218	0.86198	0.86200	167	0	28
2024.01.04	00:45:00	0.86202	0.86212	0.86198	0.86208	185	0	28
2024.01.04	01:00:00	0.86223	0.86243	0.86222	0.86235	267	0	0
2024.01.04	01:15:00	0.86235	0.86235	0.86211	0.86219	196	0	0
2024.01.04	01:30:00	0.86218	0.86237	0.86210	0.86221	156	0	0
2024.01.04	01:45:00	0.86217	0.86225	0.86204	0.86209	139	0	2
2024.01.04	02:00:00	0.86209	0.86232	0.86205	0.86214	215	0	3
2024.01.04	02:15:00	0.86214	0.86224	0.86210	0.86215	188	0	0
2024.01.04	02:30:00	0.86215	0.86231	0.86206	0.86214	163	0	2
2024.01.04	02:45:00	0.86214	0.86219	0.86195	0.86209	242	0	0
2024.01.04	03:00:00	0.86208	0.86219	0.86206	0.86213	195	0	3
2024.01.04	03:15:00	0.86212	0.86220	0.86203	0.86219	220	0	0
2024.01.04	03:30:00	0.86219	0.86223	0.86212	0.86218	241	0	10
2024.01.04	03:45:00	0.86218	0.86221	0.86207	0.86218	217	0	3
2024.01.04	04:00:00	0.86218	0.86232	0.86215	0.86228	246	0	0
2024.01.04	04:15:00	0.86229	0.86244	0.86229	0.86235	199	0	3
