<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	155.511	155.629	155.495	155.575	54	0	10
2024.01.02	00:15:00	155.575	155.653	155.542	155.610	135	0	10
2024.01.02	00:30:00	155.610	155.692	155.577	155.604	122	0	10
2024.01.02	00:45:00	155.603	155.623	155.557	155.619	147	0	10
2024.01.02	01:00:00	155.609	155.619	155.434	155.442	1214	0	21
2024.01.02	01:15:00	155.443	155.565	155.442	155.561	2088	0	21
2024.01.02	01:30:00	155.563	155.591	155.513	155.583	4147	0	21
2024.01.02	01:45:00	155.583	155.760	155.577	155.737	3979	0	21
2024.01.02	02:00:00	155.739	155.810	155.729	155.806	1046	0	21
2024.01.02	02:15:00	155.808	156.001	155.793	155.935	2576	0	21
2024.01.02	02:30:00	155.937	155.958	155.859	155.905	2302	0	21
2024.01.02	02:45:00	155.903	155.936	155.785	155.793	1867	0	21
2024.01.02	03:00:00	155.794	155.932	155.793	155.911	1267	0	21
2024.01.02	03:15:00	155.913	156.035	155.897	156.022	1152	0	21
2024.01.02	03:30:00	156.022	156.130	155.976	156.044	2589	0	21
2024.01.02	03:45:00	156.046	156.118	156.045	156.073	1008	0	21
2024.01.02	04:00:00	156.072	156.088	155.977	155.986	988	0	21
2024.01.02	04:15:00	155.986	155.986	155.888	155.913	2331	0	21
2024.01.02	04:30:00	155.913	156.185	155.893	155.968	2717	0	21
2024.01.02	04:45:00	155.966	156.037	155.936	155.981	1567	0	21
2024.01.02	05:00:00	155.981	156.043	155.974	156.000	1407	0	21
2024.01.02	05:15:00	155.998	156.135	155.993	156.124	1157	0	21
2024.01.02	05:30:00	156.124	156.128	156.045	156.084	872	0	21
2024.01.02	05:45:00	156.084	156.099	155.988	155.996	739	0	21
2024.01.02	06:00:00	155.998	156.033	155.943	156.023	972	0	21
2024.01.02	06:15:00	156.022	156.053	155.976	155.979	612	0	21
2024.01.02	06:30:00	155.976	156.001	155.944	155.976	771	0	21
2024.01.02	06:45:00	155.974	155.991	155.939	155.986	949	0	21
2024.01.02	07:00:00	155.986	156.014	155.925	155.955	1571	0	21
2024.01.02	07:15:00	155.955	156.005	155.934	155.977	984	0	21
2024.01.02	07:30:00	155.976	156.028	155.947	156.016	833	0	21
2024.01.02	07:45:00	156.016	156.016	155.915	155.951	1483	0	21
2024.01.02	08:00:00	155.951	155.997	155.937	155.992	1512	0	21
2024.01.02	08:15:00	155.992	156.021	155.936	155.982	1420	0	15
2024.01.02	08:30:00	155.983	156.066	155.948	156.030	1663	0	15
